Job #,Job title,Company name,Site,Experience,Skills,Published in
1,AI / Machine Learning Developer,Roboeyetec -,"Nasr City, Cairo, Egypt",3 - 5 Yrs of Exp,"Machine Learning Developer, Machine Learning, AI, Software Development",8 days ago
2,Senior Machine Learning,Zeidex -,"Giza, Egypt",3 - 5 Yrs of Exp,"Machine Learning, Cloud Computing, PyTorch, Data Engineering",N/A
3,Senior Quantitative Analyst,Confidential -,"Cairo, Egypt",7+ Yrs of Exp,"Statistical Analysis, Machine Learning, Programming (Python, R, C++, MATLAB), Quantitative Research, Backtesting, Risk Management, Data Analysis",11 hours ago
4,Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt",N/A,"Data Science, Computer Science, Computer Engineering, Python, Machine Learning, Deep Learning, Artificial Intelligence (AI)",7 days ago
5,AI Researcher / AI Engineer,Arabian Data -,"Nasr City, Cairo, Egypt",N/A,"Machine Learning, Natural Language Processing, Deep Learning, Artificial Intelligence, Computer Vision, Data Engineering, Statistical Modeling",N/A
6,Software Engineer,Arabian Data -,"Nasr City, Cairo, Egypt",N/A,"Software Development, Data Engineering, Python, Machine Learning, ETL Processes, Front-End Development, front-end web development, Back-End Development",N/A
7,Technical Lead,Zeidex -,"Maadi, Cairo, Egypt",N/A,"Information Technology (IT), Software, Software Development, Development, Engineering, Software Engineering, Architecture",N/A
8,Artificial Intelligence & Machine Learning Intern,Aajil -,"Riyadh, Saudi Arabia",N/A,"Artificial Intelligence, Computer Science, Information Technology (IT), Software Engineering, Software Development, Computer Engineering, Engineering",N/A
9,AI Engineer - Travel Tech,Rahala -,"Mohandessin, Giza, Egypt",2+ Yrs of Exp,"AI, Computer Science, Data Science, Engineering, Information Technology (IT), Machine Learning, Python",N/A
10,Data Scientist,Lumin -,"Sheikh Zayed, Giza, Egypt",3+ Yrs of Exp,"Computer Science, Analysis, Mathematics, Data Analysis, Hadoop, Data Science, Information Technology (IT)",N/A
11,Data Scientist,Egabi FSI  -,"Sheraton, Cairo, Egypt",N/A,"Computer Science, Data Mining, Data Science, data scientist, Hadoop, Machine Learning, Python, SQL",N/A
12,Machine Learning Engineer,EPAM Systems -,"Dubai, United Arab Emirates",Machine Learning,"Machine Learning, Computer Science, Information Technology (IT), Python, Software Engineering, Computer Engineering, Engineering",N/A
13,AI Engineer,ProVision Group -,"Maadi, Cairo, Egypt",2 - 7 Yrs of Exp,"AI, Computer Vision, Data Science, Machine Learning",N/A
14,Learning & Development Specialist,Sungrow MENA & Central Asia -,"Dubai, United Arab Emirates",Learning,"Education, Learning, Training, Information Technology (IT), Computer Science, Teaching, E-Learning",N/A
15,Learning & Development Manager - LXR Eastern Mangroves Abu Dhabi (Pre-Opening),Hilton -,"Dubai, United Arab Emirates",N/A,"Education, Learning, Training, Information Technology (IT), Computer Science, Teaching, E-Learning",N/A
16,AI Engineer,Sprint Star -,"Cairo, Egypt",3 - 5 Yrs of Exp,"Python, AI",N/A
17,AI Engineer - The Flex Asia,The Flex -,"Riyadh, Saudi Arabia",N/A,"AI, Information Technology (IT), Computer Science, Engineering, Python, Software Engineering, NLP",N/A
18,R&D Manager,Midea Group -,"Alsadat City, Monufya, Egypt",N/A,"R&D, Customer Service, Team Leadership",6 days ago
19,AI Engineer - Asia,The Flex -,"Riyadh, Saudi Arabia",N/A,"AI, Information Technology (IT), Computer Science, Engineering, Python, Software Engineering, NLP",N/A
20,AI DESIGN ARCHITECT,AL ROUKN ENGINEERING CONSULTANT -,"Heliopolis, Cairo, Egypt",N/A,"AI Integration, Architectural Design, Digital Prototyping, Technical Documentation",N/A
21,Data Management Engineer,MOBILY INFOTECH LTD INDIA -,"New Cairo, Cairo, Egypt",8 - 10 Yrs of Exp,"Data Management, Informatica, Axon, EDC, DATA PROTECTION",N/A
22,Printing Engineer,Sidhom Printing Solutions  -,"Nasr City, Cairo, Egypt",N/A,"Process troubleshooting, Printing machinery operation, Preventive maintenance, Technical documentation, Quality control, Problem-solving, Team collaboration, Attention to detail, Time management",N/A
23,Chatbot Developer,MOBILY INFOTECH LTD INDIA -,"New Cairo, Cairo, Egypt",5 - 7 Yrs of Exp,"chatbot, Chatbot developer, Computer Science, Software Development, Information Technology (IT)",N/A
24,MLOps Engineer,Confidential -,"Cairo, Egypt",5 - 9 Yrs of Exp,"Cloudera, MLOps, MLflow, Hadoop",N/A
25,ML Data Engineer,Confidential -,"Cairo, Egypt",7 - 10 Yrs of Exp,"Python, Cloudera, Hadoop, Hive, Spark, HDFS, Azure Data Lake, PySpark",N/A
26,Senior Data Analyst,Xceed Contact Center -,"Cairo, Egypt",3+ Yrs of Exp,"ETL, Data Analysis, Communication skills, Python, SQL, Business Intelligence, PowerBI, Pandas",N/A
27,Sales and Marketing Coordinator,Vendy Station -,"Nasr City, Cairo, Egypt",N/A,"Communication, Sales, Design, Organizational Structure, costumer service",N/A
28,Software Engineer (AI & Data Analytics),Confidential -,"Maadi, Cairo, Egypt",3 - 6 Yrs of Exp,"Analysis, Information Technology (IT), Cloud, Software Engineering, Software Development, Java, Programming, AWS",N/A
29,QA Validation & Qualification Officer,APEX Pharma -,"Badr City, Cairo, Egypt",3+ Yrs of Exp,"Pharmaceutical, Quality Assurance, Pharmacy, Science",N/A
30,NLP Python Engineer,Confidential -,"Cairo, Egypt",5 - 8 Yrs of Exp,"AI, Software Development, Software Engineering, Agile Software Development, PyTorch, TensorFlow, Keras",N/A
31,Senior Android Developer,Madar Soft -,"Fleming, Alexandria, Egypt",3 - 3 Yrs of Exp,"APIs, Computer Science, Design, Android, Software Engineering, Git, Information Technology (IT), Java",N/A
